date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:01	116/116	---M-Z	200	added ('OK')	text/plain	date:Tue,%2011%20Jun%202019%2006:46:02%20GMT	http://wedesignthemes.com/robots.txt		(from )
12:16:02	20767/20767	---MCZ	200	added ('OK')	text/html	date:Thu,%2005%20Nov%202015%2004:04:16%20GMT	http://wedesignthemes.com/html/redart/default/	C:/My%20Web%20Sites/Red%20art/wedesignthemes.com/html/redart/default/index.html	(from )
12:16:02	1624/1624	---MCZ	200	added ('OK')	image/x-icon	etag:W/%221a4e68-658-516199eb1d000%22	http://wedesignthemes.com/html/redart/default/favicon.ico	C:/My%20Web%20Sites/Red%20art/wedesignthemes.com/html/redart/default/favicon.ico	(from http://wedesignthemes.com/html/redart/default/)
12:16:03	89712/89712	---MCZ	200	added ('OK')	text/css	etag:W/%221a4e62-195cd-523c3334f8e80%22	http://wedesignthemes.com/html/redart/default/style.css	C:/My%20Web%20Sites/Red%20art/wedesignthemes.com/html/redart/default/style.css	(from http://wedesignthemes.com/html/redart/default/)
12:16:03	69498/69498	---MCZ	200	added ('OK')	text/css	etag:W/%221e4fa2-10f80-52388e3355180%22	http://wedesignthemes.com/html/redart/default/css/animations.css	C:/My%20Web%20Sites/Red%20art/wedesignthemes.com/html/redart/default/css/animations.css	(from http://wedesignthemes.com/html/redart/default/)
12:16:04	56440/56440	---MCZ	200	added ('OK')	text/css	etag:W/%221e4fa0-fd22-5239d44a42900%22	http://wedesignthemes.com/html/redart/default/css/shortcodes.css	C:/My%20Web%20Sites/Red%20art/wedesignthemes.com/html/redart/default/css/shortcodes.css	(from http://wedesignthemes.com/html/redart/default/)
12:16:04	5282/5282	---MCZ	200	added ('OK')	text/css	etag:W/%221e4f90-16e9-5221ed8f74400%22	http://wedesignthemes.com/html/redart/default/skins/red/style.css	C:/My%20Web%20Sites/Red%20art/wedesignthemes.com/html/redart/default/skins/red/style.css	(from http://wedesignthemes.com/html/redart/default/)
12:16:04	966/966	---MCZ	200	added ('OK')	text/css	etag:W/%221e4f9f-412-51833d4ca9c00%22	http://wedesignthemes.com/html/redart/default/css/isotope.css	C:/My%20Web%20Sites/Red%20art/wedesignthemes.com/html/redart/default/css/isotope.css	(from http://wedesignthemes.com/html/redart/default/)
12:16:05	19585/19585	---MCZ	200	added ('OK')	text/css	etag:W/%221e4fa1-4c81-5238897a12c80%22	http://wedesignthemes.com/html/redart/default/css/prettyPhoto.css	C:/My%20Web%20Sites/Red%20art/wedesignthemes.com/html/redart/default/css/prettyPhoto.css	(from http://wedesignthemes.com/html/redart/default/)
12:16:05	1597/1597	---MCZ	200	added ('OK')	text/css	etag:W/%221e4fa4-70f-522bcb72e1580%22	http://wedesignthemes.com/html/redart/default/css/pace.css	C:/My%20Web%20Sites/Red%20art/wedesignthemes.com/html/redart/default/css/pace.css	(from http://wedesignthemes.com/html/redart/default/)
